model,fold,block,n_features,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic__symptoms_diet_labels,4,symptoms,6,1,0.0034256078175066706,0.024049529988487306,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,symptoms,6,2,0.0049515844302489564,0.033392807530211455,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,symptoms,6,3,0.0038207065180147493,0.022467107313442036,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,symptoms,6,4,0.0022642442212724434,0.011359108003732521,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,symptoms,6,5,0.0028177545935298143,0.015343817435029106,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,5,context,17,1,0.0023693495226309313,0.014895048570324976,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,context,17,2,0.015366058832027268,0.06000670115531903,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,context,17,3,0.017414092016516253,0.07738866865407601,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,context,17,4,0.02032602679442788,0.07771937605644486,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,context,17,5,0.017275466760871355,0.06490138250551147,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,diet,15,1,0.0007910261441775868,0.0035085889704343787,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,diet,15,2,0.0033690724412805684,0.019043281360220043,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,diet,15,3,0.0004485542595245584,0.0083494880388576,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,diet,15,4,-0.001626266571336854,-0.0020051957575664137,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,diet,15,5,0.00047232009182537893,0.008800462595424219,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,labels,6,1,-5.342235902844328e-06,-0.0019268061159330996,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,labels,6,2,-0.0019879235677603413,-0.006774187329521397,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,labels,6,3,-0.0003805074058257918,0.0008975400890204321,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,labels,6,4,0.00040025833675000344,0.005704664895476386,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,labels,6,5,-0.002189494474877124,-0.008324062183500236,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,symptoms,6,1,0.00899513816611544,0.044756034881357265,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,symptoms,6,2,0.00863998845222505,0.0410258413234571,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,symptoms,6,3,0.0126814577844033,0.05584904289279591,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,symptoms,6,4,0.013472765184588925,0.053392400306143784,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,5,symptoms,6,5,0.0064005020559895764,0.028866587561994117,1005,2807410.1710247993
random_forest__context_diet_labels,1,context,17,1,0.022684606554887132,0.13768974260235334,1006,2861322.5562906265
random_forest__context_diet_labels,1,context,17,2,0.02415703547980791,0.16693370653586925,1006,2861322.5562906265
random_forest__context_diet_labels,1,context,17,3,0.016942856195218292,0.11398281553018252,1006,2861322.5562906265
random_forest__context_diet_labels,1,context,17,4,0.016314966781144857,0.11601630679869313,1006,2861322.5562906265
random_forest__context_diet_labels,1,context,17,5,0.022168031370250862,0.14943140849873354,1006,2861322.5562906265
random_forest__context_diet_labels,1,diet,15,1,-0.0023518008968872184,-0.0033093004524281655,1006,2861322.5562906265
random_forest__context_diet_labels,1,diet,15,2,0.0013809481464794326,0.015891143606575175,1006,2861322.5562906265
random_forest__context_diet_labels,1,diet,15,3,0.0012574623597051138,0.01152728515377821,1006,2861322.5562906265
random_forest__context_diet_labels,1,diet,15,4,0.0030476590808380666,0.0331697621040542,1006,2861322.5562906265
random_forest__context_diet_labels,1,diet,15,5,0.0019108514207815952,0.024088822784177233,1006,2861322.5562906265
random_forest__context_diet_labels,1,labels,6,1,-1.6285465987808667e-05,0.0017188838172335075,1006,2861322.5562906265
random_forest__context_diet_labels,1,labels,6,2,0.002210813147124291,0.013532396340290354,1006,2861322.5562906265
random_forest__context_diet_labels,1,labels,6,3,-0.001092500102685301,-0.008422542593176763,1006,2861322.5562906265
random_forest__context_diet_labels,1,labels,6,4,-0.0023539958695503738,-0.015220942831690731,1006,2861322.5562906265
random_forest__context_diet_labels,1,labels,6,5,-0.002550587837279711,-0.015124605722731888,1006,2861322.5562906265
random_forest__context_diet_labels,2,context,17,1,0.022281301955353383,0.15332580724766742,1007,2574325.41285038
random_forest__context_diet_labels,2,context,17,2,0.023006281789349714,0.13492600054113424,1007,2574325.41285038
random_forest__context_diet_labels,2,context,17,3,0.021301650277035067,0.134971921480615,1007,2574325.41285038
