domain,variable,description,kind,domain_n,observed_n,missing_n,df,units,row_type,level,n,estimate,weighted_sd,ci_low,ci_high,se
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"08 608,000–764,999 CLP/month",97,5.510087464840994,,3.85359378638442,7.820716485876635,0.9948778913297448
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"09 765,000–1,029,999 CLP/month",185,12.948758549483378,,10.209254006787015,16.290004889609015,1.5434898290641457
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"10 1,030,000–1,572,999 CLP/month",89,5.137963624097189,,3.2557426910518417,8.018154213124399,1.1820422118179317
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"11 >=1,573,000 CLP/month",80,5.315638851241113,,3.5565806094716144,7.873685579771143,1.0779576855401831
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,missing,Missing,391,,,,,
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"01 <78,000 CLP/month",55,1.0419849390228544,,0.6841646188310876,1.5839617851482954,0.2229602657480966
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"02 78,000–134,999 CLP/month",192,4.029571658602507,,3.203712243900513,5.057200082791543,0.4688921559588612
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"03 135,000–217,999 CLP/month",371,12.058121424040799,,9.973390247690794,14.508395309984417,1.152409787894962
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"04 218,000–295,999 CLP/month",348,13.928090979590854,,11.477279443967841,16.802901977285288,1.3539412496226344
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"05 296,000–383,999 CLP/month",414,16.16433443602982,,13.888423389264663,18.73207142516732,1.2330006856746358
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"06 384,000–480,999 CLP/month",250,12.914212081679317,,10.347771698570599,16.00355334337258,1.4363080514099023
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"07 481,000–607,999 CLP/month",325,18.65613124481468,,15.844861119784479,21.836763359314627,1.5259335610615832
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"08 608,000–764,999 CLP/month",98,5.205141801168351,,3.7501198532707254,7.182574442951638,0.8627325245856401
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"09 765,000–1,029,999 CLP/month",165,9.899458741228772,,7.693805781580315,12.650766116082346,1.255709311043576
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"10 1,030,000–1,572,999 CLP/month",51,2.891148977755662,,1.7352419263621144,4.779594933785834,0.7473623958659147
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,category,"11 >=1,573,000 CLP/month",56,3.2118037160663824,,1.9052390299295439,5.365369471696847,0.8485710993628623
Caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2689,2325,364,1045,percent,missing,Missing,364,,,,,
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"01 <78,000 CLP/month",96,1.0210119720507111,,0.7383944003289644,1.4102634743000408,0.16837109464718641
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"02 78,000–134,999 CLP/month",326,3.7476228434232706,,3.082920209334007,4.548914096565112,0.37156887710731845
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"03 135,000–217,999 CLP/month",629,10.359260960099936,,8.975013449383837,11.929026478983722,0.7513211115169225
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"04 218,000–295,999 CLP/month",584,12.929158828661159,,11.084074480275682,15.02946530275514,1.0036751140412474
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"05 296,000–383,999 CLP/month",722,16.467328292301996,,14.696108291095623,18.405960267103453,0.9448146572372147
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"06 384,000–480,999 CLP/month",497,13.79344547756302,,11.977174130201126,15.83559391383837,0.9819423567693002
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"07 481,000–607,999 CLP/month",606,17.071631560296062,,15.201746332586366,19.11966166819418,0.9978525105304115
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"08 608,000–764,999 CLP/month",195,5.339825796605172,,4.233261779673187,6.715359856456095,0.6281335939690682
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"09 765,000–1,029,999 CLP/month",350,11.246229429863122,,9.356260147115112,13.461277042163683,1.0430846267331726
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"10 1,030,000–1,572,999 CLP/month",140,3.883489612905982,,2.7688806060626834,5.421763555473662,0.6654482440879298
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,category,"11 >=1,573,000 CLP/month",136,4.1409952262295695,,3.0131393062016216,5.666356912194658,0.6668686996699597
Total,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,5036,4281,755,1045,percent,missing,Missing,755,,,,,
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,Armed forces or police,73,2.5374610576318632,,1.49244040227044,4.282404371672719,0.6823658072915945
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,None,83,4.862788226166722,,3.3582285767283135,6.9926497419608244,0.909802341069161
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,Other,3,0.07081163406049,,0.018722647783918755,0.267431727209014,0.04799122259026608
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,Private ISAPRE,261,15.09575804727815,,12.086088121843256,18.695514791338248,1.6799316925312784
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,Public FONASA A,528,19.806727984254525,,17.169410672856362,22.737945536810617,1.4185924321936796
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,Public FONASA B,585,21.13800687520998,,18.53524029113687,23.99859231518952,1.3921303533808886
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,Public FONASA C,262,11.679850934284023,,9.473782974257679,14.318372624925008,1.2302027133384308
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,Public FONASA D,243,10.560073166221091,,8.679803971284551,12.790607272459532,1.0439472848870077
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,category,"Public FONASA, group unknown",284,14.248522074893158,,11.47391264858632,17.56098714001511,1.546851478354405
No caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2347,2322,25,1045,percent,missing,Missing,25,,,,,
