feature,mdi,n_encoded_columns,mdi_scaled,rank,model,fold,test_weight_sum,representation
label_health,0.02490923099810386,4,19.75337009365649,20.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
label_brand,0.02785151163791692,4,22.37898588990167,15.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
label_discounts,0.025545796618947368,4,20.32142493071633,17.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
water,0.058213001981389345,1,49.47280133519912,5.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
soda_frequency,0.05825231792120038,1,49.50788587173695,4.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
juice_frequency,0.04582326455154723,1,38.416517353671615,7.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
oil,0.008777689293552307,6,5.357995925694881,24.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
age,0.32913431090712547,1,100.0,1.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
sex,0.08598982306600907,1,26.126058638193307,4.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
region,0.018957112163939267,14,5.759688836964965,8.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
rural,0.0002775381006163775,1,0.08432366101591052,24.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
education,0.024291298010716004,2,7.380360298434666,6.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
indigenous,0.0,1,0.0,25.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
born_chile,0.0,1,0.0,25.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
teeth_remaining,0.21646517666725112,1,65.7680373919852,2.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
fish,0.01107585324677179,3,3.365146956646873,15.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
dairy_frequency,0.013857978633736385,6,4.210432694039852,13.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
dairy_type,0.006103383696861061,2,1.8543747930866141,18.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
wholegrain,0.014450583176572829,5,4.390482152026523,12.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
legumes,0.010815545265481206,3,3.286058276839183,16.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
fruit_days,0.02365307124687145,7,7.186449562697167,7.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
fruit_portions,0.013305933429809616,1,4.042706271836928,14.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
vegetable_days,0.005602925641002459,7,1.7023219565168588,19.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
vegetable_portions,0.010419120877351508,1,3.1656137121150993,17.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
label_ingredients,0.0035494510382102318,4,1.0784202438292156,22.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
label_nutrition,0.00352191756618509,4,1.070054822445691,23.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
label_warnings,0.01881786115314129,4,5.717380573686612,9.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
label_health,0.00485473817873104,4,1.475002155001987,20.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
label_brand,0.01568772512489601,4,4.766359691172624,11.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
label_discounts,0.003664835756583437,4,1.1134772751229736,21.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
water,0.017310556837678515,1,5.259420322958422,10.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
soda_frequency,0.05061406660071295,1,15.377936885770364,5.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
juice_frequency,0.0975791936137459,1,29.64722618702631,3.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
oil,0.0,6,0.0,25.0,rf_complete_historical,3,2756937.4032588005,"Historical 90-term coding, complete cohort"
age,0.17908370262348366,1,98.25864586196607,2.0,rf_complete_historical,4,2760460.2584929466,"Historical 90-term coding, complete cohort"
sex,0.04207800394315673,1,23.087124218789068,7.0,rf_complete_historical,4,2760460.2584929466,"Historical 90-term coding, complete cohort"
