model,fold,repeat,brier_increase,auc_drop,n_test,test_weight_sum,feature,n_input_columns,representation
rf_complete_historical,1,5,0.00012127909486603361,0.004712219978911247,997,2854394.5302591324,soda_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.000899829343955133,-0.0035573851612950014,997,2854394.5302591324,juice_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-0.0005660752611439945,-0.0016200463914424201,997,2854394.5302591324,juice_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,3.199388621688559e-05,0.0020682845310809883,997,2854394.5302591324,juice_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.0006924116505915567,-0.0018194844066855564,997,2854394.5302591324,juice_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-0.0009350148158872307,-0.004235972784501496,997,2854394.5302591324,juice_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.00010059331880238331,-0.0012692790915124208,997,2854394.5302591324,oil,6,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-9.390982659479574e-06,-0.0008488061574881689,997,2854394.5302591324,oil,6,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-8.434692839145996e-05,-0.001563048651052057,997,2854394.5302591324,oil,6,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,0.00024637878181557604,0.0015586929739473954,997,2854394.5302591324,oil,6,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-6.022563841703854e-05,-0.0007606592114587363,997,2854394.5302591324,oil,6,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,1,0.006741219885613631,0.05014532184775278,997,2550707.318306923,age,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,2,0.0026408012818365523,0.014662676026496624,997,2550707.318306923,age,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,3,0.0019865437666415076,0.023857470853526852,997,2550707.318306923,age,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,4,0.007274245831588727,0.05987022314781676,997,2550707.318306923,age,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,5,0.003425256665024634,0.020584522611934553,997,2550707.318306923,age,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,1,0.0002140671539750949,0.003452613028244844,997,2550707.318306923,sex,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,2,0.0013193644944916316,0.005616184337785657,997,2550707.318306923,sex,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,3,0.0006710147104086461,0.00768738936163027,997,2550707.318306923,sex,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,4,0.0023644925036603037,0.019043950020508515,997,2550707.318306923,sex,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,5,0.0024956583719536185,0.013714053535844872,997,2550707.318306923,sex,1,"Historical 90-term coding, complete cohort"
