bin,n,predicted,observed,model
"(0.603, 0.624]",504,0.6124936269808403,0.5808174329850337,spline_extended
"(0.624, 0.649]",503,0.635446608538888,0.7016808848090407,spline_extended
"(0.649, 0.858]",504,0.6743033329089447,0.7194542692604861,spline_extended
"(0.264, 0.462]",504,0.42752073161770476,0.415205442653093,spline_no_teeth
"(0.462, 0.504]",504,0.48455055878119746,0.4657975913792095,spline_no_teeth
"(0.504, 0.531]",503,0.5178892155718311,0.5171201275824888,spline_no_teeth
"(0.531, 0.548]",504,0.5395980371055138,0.5549758197486105,spline_no_teeth
"(0.548, 0.564]",503,0.5556028632315163,0.5241216614802792,spline_no_teeth
"(0.564, 0.578]",504,0.5705462652497428,0.554932261005184,spline_no_teeth
"(0.578, 0.592]",503,0.5853303278155202,0.6102248900324435,spline_no_teeth
"(0.592, 0.609]",504,0.5996919276769581,0.6056567627600661,spline_no_teeth
"(0.609, 0.629]",503,0.6179800809734376,0.6860636732578016,spline_no_teeth
"(0.629, 0.86]",504,0.6506146220226041,0.6388337676541662,spline_no_teeth
