model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum,base_model,encoding,encoding_label
random_forest_water_nominal,5,water,1,-7.145147971651666e-05,-0.0012587817365431464,1005,2807410.1710247993,random_forest,nominal,Nominal water categories
random_forest_water_nominal,5,water,2,3.268265423353456e-05,-0.0006640333225279571,1005,2807410.1710247993,random_forest,nominal,Nominal water categories
random_forest_water_nominal,5,water,3,-0.0002157906538509946,-0.0015241183822822801,1005,2807410.1710247993,random_forest,nominal,Nominal water categories
random_forest_water_nominal,5,water,4,-0.0005145158499097469,-0.003160763668939137,1005,2807410.1710247993,random_forest,nominal,Nominal water categories
random_forest_water_nominal,5,water,5,-4.908419022736643e-05,-0.00019071393932901248,1005,2807410.1710247993,random_forest,nominal,Nominal water categories
spline_logistic_water_index,1,water,1,0.0005357497161087854,0.006755500532023118,1006,2861322.5562906265,spline_logistic,index,Historical factor index
spline_logistic_water_index,1,water,2,0.0005125752450759746,0.004308966041747908,1006,2861322.5562906265,spline_logistic,index,Historical factor index
spline_logistic_water_index,1,water,3,-0.001089339558558916,-0.008156432772800315,1006,2861322.5562906265,spline_logistic,index,Historical factor index
spline_logistic_water_index,1,water,4,-0.0012123221090183933,-0.008983399244248402,1006,2861322.5562906265,spline_logistic,index,Historical factor index
spline_logistic_water_index,1,water,5,-0.0005500593723370417,-0.007843970979743653,1006,2861322.5562906265,spline_logistic,index,Historical factor index
spline_logistic_water_index,2,water,1,-0.0012639457804226317,-0.010502121671408404,1007,2574325.41285038,spline_logistic,index,Historical factor index
spline_logistic_water_index,2,water,2,-0.0007163377581531627,-0.005120925719488301,1007,2574325.41285038,spline_logistic,index,Historical factor index
spline_logistic_water_index,2,water,3,-0.0003986444616479179,-0.00256561448408843,1007,2574325.41285038,spline_logistic,index,Historical factor index
spline_logistic_water_index,2,water,4,-0.0009788252976996314,-0.010396975581768664,1007,2574325.41285038,spline_logistic,index,Historical factor index
spline_logistic_water_index,2,water,5,0.00033469753556047976,0.0017681664395198249,1007,2574325.41285038,spline_logistic,index,Historical factor index
spline_logistic_water_index,3,water,1,0.00016605091226232216,0.0009253403664304383,1011,2776332.157348156,spline_logistic,index,Historical factor index
spline_logistic_water_index,3,water,2,0.00011039048154840025,0.0013978811115678003,1011,2776332.157348156,spline_logistic,index,Historical factor index
spline_logistic_water_index,3,water,3,8.531370589923148e-05,0.0006824777607563615,1011,2776332.157348156,spline_logistic,index,Historical factor index
spline_logistic_water_index,3,water,4,6.893884725278632e-05,4.057851862204753e-05,1011,2776332.157348156,spline_logistic,index,Historical factor index
spline_logistic_water_index,3,water,5,0.0001380260007747547,0.00039338630806418085,1011,2776332.157348156,spline_logistic,index,Historical factor index
spline_logistic_water_index,4,water,1,0.0001944554485291683,0.0026771537597392037,1007,2777806.4952178,spline_logistic,index,Historical factor index
spline_logistic_water_index,4,water,2,4.9000435388413255e-05,0.0009882199728132868,1007,2777806.4952178,spline_logistic,index,Historical factor index
spline_logistic_water_index,4,water,3,0.0006255615381870472,0.004078680657903178,1007,2777806.4952178,spline_logistic,index,Historical factor index
spline_logistic_water_index,4,water,4,0.0001858411684746708,0.0017021577108992103,1007,2777806.4952178,spline_logistic,index,Historical factor index
spline_logistic_water_index,4,water,5,0.0005012827177167667,0.004214223279072726,1007,2777806.4952178,spline_logistic,index,Historical factor index
spline_logistic_water_index,5,water,1,-0.0008410519777274916,-0.0056149767319061406,1005,2807410.1710247993,spline_logistic,index,Historical factor index
spline_logistic_water_index,5,water,2,-0.0004765797758836121,-0.0027921170647408067,1005,2807410.1710247993,spline_logistic,index,Historical factor index
spline_logistic_water_index,5,water,3,-0.0006553603125302176,-0.0049844619843723015,1005,2807410.1710247993,spline_logistic,index,Historical factor index
spline_logistic_water_index,5,water,4,-0.0006002265656007144,-0.0031196842443234063,1005,2807410.1710247993,spline_logistic,index,Historical factor index
spline_logistic_water_index,5,water,5,9.482298295671043e-06,0.0016040579537472954,1005,2807410.1710247993,spline_logistic,index,Historical factor index
spline_logistic_water_nominal,1,water,1,0.00016339255931607788,0.0009320425278160904,1006,2861322.5562906265,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,1,water,2,-2.982428180692276e-05,-0.0008209286151934503,1006,2861322.5562906265,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,1,water,3,-0.00019923420308237683,-0.0017766129272803743,1006,2861322.5562906265,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,1,water,4,-9.702304363498615e-05,-0.0009545550135852121,1006,2861322.5562906265,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,1,water,5,-4.9439836700249096e-05,-0.0009711052500858131,1006,2861322.5562906265,spline_logistic,nominal,Nominal water categories
