model,fold,block,repeat,n_features,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,4,Food intake,5,9,-0.0007375133962651548,0.0006092246253377454,1007,2777806.4952178
spline_logistic,4,Label-related behaviours,1,6,-0.0002482922805025489,-0.0017123887590148046,1007,2777806.4952178
spline_logistic,4,Label-related behaviours,2,6,0.0006447498642236649,0.005828164976103167,1007,2777806.4952178
spline_logistic,4,Label-related behaviours,3,6,-0.00010809577507817081,-0.0018441684144164805,1007,2777806.4952178
spline_logistic,4,Label-related behaviours,4,6,0.0009037823866050732,0.00664723445177462,1007,2777806.4952178
spline_logistic,4,Label-related behaviours,5,6,0.0009051767195473459,0.0055832410269285315,1007,2777806.4952178
spline_logistic,4,Beverages,1,3,-0.0012661712993026208,-0.003597069786761886,1007,2777806.4952178
spline_logistic,4,Beverages,2,3,0.0009435706174088232,0.010650861893318764,1007,2777806.4952178
spline_logistic,4,Beverages,3,3,-0.0017784265252132891,-0.006785893704215229,1007,2777806.4952178
spline_logistic,4,Beverages,4,3,0.00045185835261976615,0.0020591127239357743,1007,2777806.4952178
spline_logistic,4,Beverages,5,3,-0.0013069501957496954,-0.003568459442402916,1007,2777806.4952178
spline_logistic,4,Cooking fat,1,1,-3.913353406789777e-05,-0.00035007958660004945,1007,2777806.4952178
spline_logistic,4,Cooking fat,2,1,-2.482387077162862e-05,-1.2633338717149556e-05,1007,2777806.4952178
spline_logistic,4,Cooking fat,3,1,8.289269256056553e-06,-9.170940711134001e-05,1007,2777806.4952178
spline_logistic,4,Cooking fat,4,1,-1.7432893551744266e-05,-0.0004929198437294557,1007,2777806.4952178
spline_logistic,4,Cooking fat,5,1,4.665798900754803e-05,-8.080637513740996e-05,1007,2777806.4952178
spline_logistic,5,Sociodemographic,1,7,-0.0005439136965512681,0.0006106017306898304,1005,2807410.1710247993
spline_logistic,5,Sociodemographic,2,7,0.0024829407073779786,0.030172921596482327,1005,2807410.1710247993
spline_logistic,5,Sociodemographic,3,7,0.008238505009263819,0.061147272313428536,1005,2807410.1710247993
spline_logistic,5,Sociodemographic,4,7,-0.003804512883935046,-0.025268156102114858,1005,2807410.1710247993
spline_logistic,5,Sociodemographic,5,7,0.00047876548770028893,0.002738163175435293,1005,2807410.1710247993
spline_logistic,5,Remaining teeth,1,1,0.004523923637037214,0.04548427690117651,1005,2807410.1710247993
spline_logistic,5,Remaining teeth,2,1,0.004586355365675532,0.04492562286706103,1005,2807410.1710247993
