model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,1,juice_frequency,3,0.0001506861391581682,0.0014056001967251985,1006,2861322.5562906265
spline_logistic,1,juice_frequency,4,0.0001389503660136071,0.0010375884089697252,1006,2861322.5562906265
spline_logistic,1,juice_frequency,5,-3.745498976689965e-05,-0.0001352042456473912,1006,2861322.5562906265
spline_logistic,1,oil,1,1.4394370101672438e-05,0.00022614149097865965,1006,2861322.5562906265
spline_logistic,1,oil,2,-8.332577500325122e-06,-6.828823910842718e-05,1006,2861322.5562906265
spline_logistic,1,oil,3,-2.9898910614251095e-05,-0.00016806657651147194,1006,2861322.5562906265
spline_logistic,1,oil,4,-1.5317285985222417e-05,7.6987145550933e-05,1006,2861322.5562906265
spline_logistic,1,oil,5,1.182732592225344e-06,0.00042902679210854444,1006,2861322.5562906265
spline_logistic,2,age,1,0.009230805795710118,0.054438087869202345,1007,2574325.41285038
spline_logistic,2,age,2,0.00694261416706235,0.04920896692766552,1007,2574325.41285038
spline_logistic,2,age,3,0.007177141038423429,0.04592877664821049,1007,2574325.41285038
spline_logistic,2,age,4,0.006715877725707059,0.04960994564512167,1007,2574325.41285038
spline_logistic,2,age,5,0.004153780812896191,0.025438794828079758,1007,2574325.41285038
spline_logistic,2,sex,1,0.0016253190111007176,0.011263276153037682,1007,2574325.41285038
spline_logistic,2,sex,2,0.00028790662382308096,0.0017821833462560166,1007,2574325.41285038
spline_logistic,2,sex,3,0.00072232033504252,0.004293708204564983,1007,2574325.41285038
spline_logistic,2,sex,4,0.0003009929775362741,-4.3354949534779585e-05,1007,2574325.41285038
spline_logistic,2,sex,5,0.0005126076902066956,0.003756576200676265,1007,2574325.41285038
spline_logistic,2,region,1,0.00015688806323158055,0.000983505857959588,1007,2574325.41285038
spline_logistic,2,region,2,-3.716221485489113e-05,-0.0005456105794142685,1007,2574325.41285038
spline_logistic,2,region,3,0.00023644945866418965,0.002135284040174046,1007,2574325.41285038
spline_logistic,2,region,4,0.0006830533190675392,0.0046194768031661,1007,2574325.41285038
spline_logistic,2,region,5,0.00044968744506240776,0.0028152835744174043,1007,2574325.41285038
spline_logistic,2,rural,1,0.00012343382105967082,9.93242681492923e-05,1007,2574325.41285038
spline_logistic,2,rural,2,-3.366815775696086e-05,-0.0005849185129437329,1007,2574325.41285038
spline_logistic,2,rural,3,-2.6582668713914792e-05,-0.0009762291451878014,1007,2574325.41285038
spline_logistic,2,rural,4,-5.002940743348283e-06,-0.0008742212462907739,1007,2574325.41285038
spline_logistic,2,rural,5,6.738441329923184e-08,-0.0001316150530595861,1007,2574325.41285038
spline_logistic,2,education,1,-0.0001265655579330005,-0.0008502405751422693,1007,2574325.41285038
spline_logistic,2,education,2,0.0006199719318031038,0.0034842094173656024,1007,2574325.41285038
spline_logistic,2,education,3,0.00015818973980114004,0.0011636002668589107,1007,2574325.41285038
spline_logistic,2,education,4,0.0006832315994002858,0.003670184910927299,1007,2574325.41285038
spline_logistic,2,education,5,0.0006700231947005253,0.004710021337171688,1007,2574325.41285038
spline_logistic,2,indigenous,1,9.895831490400187e-05,6.327281005347185e-05,1007,2574325.41285038
spline_logistic,2,indigenous,2,-9.163204179871154e-05,-0.0005725794999656975,1007,2574325.41285038
spline_logistic,2,indigenous,3,-6.231468946127361e-06,-2.8041243233078994e-05,1007,2574325.41285038
spline_logistic,2,indigenous,4,-0.00016190527816600797,-0.0009848218010798382,1007,2574325.41285038
spline_logistic,2,indigenous,5,0.00010459849711724756,0.0006121010870768773,1007,2574325.41285038
spline_logistic,2,born_chile,1,-0.00012165994813526093,-0.000622263878259588,1007,2574325.41285038
spline_logistic,2,born_chile,2,-0.00013349357797134975,-0.0005640049645491141,1007,2574325.41285038
spline_logistic,2,born_chile,3,-4.14120163076126e-05,-0.00023773838670559932,1007,2574325.41285038
spline_logistic,2,born_chile,4,-0.0001244924322630625,-0.0005494612718109915,1007,2574325.41285038
spline_logistic,2,born_chile,5,-2.42221032101253e-05,-0.0001269860343096063,1007,2574325.41285038
spline_logistic,2,teeth_remaining,1,0.007494793365485697,0.06232574972680316,1007,2574325.41285038
spline_logistic,2,teeth_remaining,2,0.004574708009203815,0.030538645803952602,1007,2574325.41285038
spline_logistic,2,teeth_remaining,3,0.0035158037332820025,0.030079992146992307,1007,2574325.41285038
spline_logistic,2,teeth_remaining,4,0.004584659775869998,0.03987302641419144,1007,2574325.41285038
spline_logistic,2,teeth_remaining,5,0.004964302874068599,0.036631711815745205,1007,2574325.41285038
spline_logistic,2,fish,1,-0.0010522234523576146,-0.009390617670050894,1007,2574325.41285038
spline_logistic,2,fish,2,-0.0005589746298080567,-0.004732971899029215,1007,2574325.41285038
